# DerivedCombiningClass-15.0.0.txt
# Date: 2022-04-26, 23:14:29 GMT
# © 2022 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Combining Class (listing UnicodeData.txt, field 3: see UAX #44: https://www.unicode.org/reports/tr44/)

#  All code points not explicitly listed for Canonical_Combining_Class
#  have the value Not_Reordered (0).

# @missing: 0000..10FFFF; Not_Reordered

# ================================================

# Canonical_Combining_Class=Not_Reordered

0000..001F    ; 0 # Cc  [32] <control-0000>..<control-001F>
0020          ; 0 # Zs       SPACE
0021..0023    ; 0 # Po   [3] EXCLAMATION MARK..NUMBER SIGN
0024          ; 0 # Sc       DOLLAR SIGN
0025..0027    ; 0 # Po   [3] PERCENT SIGN..APOSTROPHE
0028          ; 0 # Ps       LEFT PARENTHESIS
0029          ; 0 # Pe       RIGHT PARENTHESIS
002A          ; 0 # Po       ASTERISK
002B          ; 0 # Sm       PLUS SIGN
002C          ; 0 # Po       COMMA
002D          ; 0 # Pd       HYPHEN-MINUS
002E..002F    ; 0 # Po   [2] FULL STOP..SOLIDUS
0030..0039    ; 0 # Nd  [10] DIGIT ZERO..DIGIT NINE
003A..003B    ; 0 # Po   [2] COLON..SEMICOLON
003C..003E    ; 0 # Sm   [3] LESS-THAN SIGN..GREATER-THAN SIGN
003F..0040    ; 0 # Po   [2] QUESTION MARK..COMMERCIAL AT
0041..005A    ; 0 # L&  [26] LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER Z
005B          ; 0 # Ps       LEFT SQUARE BRACKET
005C          ; 0 # Po       REVERSE SOLIDUS
005D          ; 0 # Pe       RIGHT SQUARE BRACKET
005E          ; 0 # Sk       CIRCUMFLEX ACCENT
005F          ; 0 # Pc       LOW LINE
0060          ; 0 # Sk       GRAVE ACCENT
0061..007A    ; 0 # L&  [26] LATIN SMALL LETTER A..LATIN SMALL LETTER Z
007B          ; 0 # Ps       LEFT CURLY BRACKET
007C          ; 0 # Sm       VERTICAL LINE
007D          ; 0 # Pe       RIGHT CURLY BRACKET
007E          ; 0 # Sm       TILDE
007F..009F    ; 0 # Cc  [33] <control-007F>..<control-009F>
00A0          ; 0 # Zs       NO-BREAK SPACE
00A1          ; 0 # Po       INVERTED EXCLAMATION MARK
00A2..00A5    ; 0 # Sc   [4] CENT SIGN..YEN SIGN
00A6          ; 0 # So       BROKEN BAR
00A7          ; 0 # Po       SECTION SIGN
00A8          ; 0 # Sk       DIAERESIS
00A9          ; 0 # So       COPYRIGHT SIGN
00AA          ; 0 # Lo       FEMININE ORDINAL INDICATOR
00AB          ; 0 # Pi       LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00AC          ; 0 # Sm       NOT SIGN
00AD          ; 0 # Cf       SOFT HYPHEN
00AE          ; 0 # So       REGISTERED SIGN
00AF          ; 0 # Sk       MACRON
00B0          ; 0 # So       DEGREE SIGN
00B1          ; 0 # Sm       PLUS-MINUS SIGN
00B2..00B3    ; 0 # No   [2] SUPERSCRIPT TWO..SUPERSCRIPT THREE
00B4          ; 0 # Sk       ACUTE ACCENT
00B5          ; 0 # L&       MICRO SIGN
00B6..00B7    ; 0 # Po   [2] PILCROW SIGN..MIDDLE DOT
00B8          ; 0 # Sk       CEDILLA
00B9          ; 0 # No       SUPERSCRIPT ONE
00BA          ; 0 # Lo       MASCULINE ORDINAL INDICATOR
00BB          ; 0 # Pf       RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC..00BE    ; 0 # No   [3] VULGAR FRACTION ONE QUARTER..VULGAR FRACTION THREE QUARTERS
00BF          ; 0 # Po       INVERTED QUESTION MARK
00C0..00D6    ; 0 # L&  [23] LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D7          ; 0 # Sm       MULTIPLICATION SIGN
00D8..00F6    ; 0 # L&  [31] LATIN CAPITAL LETTER O WITH STROKE..LATIN SMALL LETTER O WITH DIAERESIS
00F7          ; 0 # Sm       DIVISION SIGN
00F8..01BA    ; 0 # L& [195] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER EZH WITH TAIL
01BB          ; 0 # Lo       LATIN LETTER TWO WITH STROKE
01BC..01BF    ; 0 # L&   [4] LATIN CAPITAL LETTER TONE FIVE..LATIN LETTER WYNN
01C0..01C3    ; 0 # Lo   [4] LATIN LETTER DENTAL CLICK..LATIN LETTER RETROFLEX CLICK
01C4..0293    ; 0 # L& [208] LATIN CAPITAL LETTER DZ WITH CARON..LATIN SMALL LETTER EZH WITH CURL
0294          ; 0 # Lo       LATIN LETTER GLOTTAL STOP
0295..02AF    ; 0 # L&  [27] LATIN LETTER PHARYNGEAL VOICED FRICATIVE..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0..02C1    ; 0 # Lm  [18] MODIFIER LETTER SMALL H..MODIFIER LETTER REVERSED GLOTTAL STOP
02C2..02C5    ; 0 # Sk   [4] MODIFIER LETTER LEFT ARROWHEAD..MODIFIER LETTER DOWN ARROWHEAD
02C6..02D1    ; 0 # Lm  [12] MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02D2..02DF    ; 0 # Sk  [14] MODIFIER LETTER CENTRED RIGHT HALF RING..MODIFIER LETTER CROSS ACCENT
02E0..02E4    ; 0 # Lm   [5] MODIFIER LETTER SMALL GAMMA..MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
02E5..02EB    ; 0 # Sk   [7] MODIFIER LETTER EXTRA-HIGH TONE BAR..MODIFIER LETTER YANG DEPARTING TONE MARK
02EC          ; 0 # Lm       MODIFIER LETTER VOICING
02ED          ; 0 # Sk       MODIFIER LETTER UNASPIRATED
02EE          ; 0 # Lm       MODIFIER LETTER DOUBLE APOSTROPHE
02EF..02FF    ; 0 # Sk  [17] MODIFIER LETTER LOW DOWN ARROWHEAD..MODIFIER LETTER LOW LEFT ARROW
034F          ; 0 # Mn       COMBINING GRAPHEME JOINER
0370..0373    ; 0 # L&   [4] GREEK CAPITAL LETTER HETA..GREEK SMALL LETTER ARCHAIC SAMPI
0374          ; 0 # Lm       GREEK NUMERAL SIGN
0375          ; 0 # Sk       GREEK LOWER NUMERAL SIGN
0376..0377    ; 0 # L&   [2] GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA..GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
037A          ; 0 # Lm       GREEK YPOGEGRAMMENI
037B..037D    ; 0 # L&   [3] GREEK SMALL REVERSED LUNATE SIGMA SYMBOL..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037E          ; 0 # Po       GREEK QUESTION MARK
037F          ; 0 # L&       GREEK CAPITAL LETTER YOT
0384..0385    ; 0 # Sk   [2] GREEK TONOS..GREEK DIALYTIKA TONOS
0386          ; 0 # L&       GREEK CAPITAL LETTER ALPHA WITH TONOS
0387          ; 0 # Po       GREEK ANO TELEIA
0388..038A    ; 0 # L&   [3] GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038C          ; 0 # L&       GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..03A1    ; 0 # L&  [20] GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER RHO
03A3..03F5    ; 0 # L&  [83] GREEK CAPITAL LETTER SIGMA..GREEK LUNATE EPSILON SYMBOL
03F6          ; 0 # Sm       GREEK REVERSED LUNATE EPSILON SYMBOL
03F7..0481    ; 0 # L& [139] GREEK CAPITAL LETTER SHO..CYRILLIC SMALL LETTER KOPPA
0482          ; 0 # So       CYRILLIC THOUSANDS SIGN
0488..0489    ; 0 # Me   [2] COMBINING CYRILLIC HUNDRED THOUSANDS SIGN..COMBINING CYRILLIC MILLIONS SIGN
048A..052F    ; 0 # L& [166] CYRILLIC CAPITAL LETTER SHORT I WITH TAIL..CYRILLIC SMALL LETTER EL WITH DESCENDER
0531..0556    ; 0 # L&  [38] ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0559          ; 0 # Lm       ARMENIAN MODIFIER LETTER LEFT HALF RING
055A..055F    ; 0 # Po   [6] ARMENIAN APOSTROPHE..ARMENIAN ABBREVIATION MARK
0560..0588    ; 0 # L&  [41] ARMENIAN SMALL LETTER TURNED AYB..ARMENIAN SMALL LETTER YI WITH STROKE
0589          ; 0 # Po       ARMENIAN FULL STOP
058A          ; 0 # Pd       ARMENIAN HYPHEN
058D..058E    ; 0 # So   [2] RIGHT-FACING ARMENIAN ETERNITY SIGN..LEFT-FACING ARMENIAN ETERNITY SIGN
058F          ; 0 # Sc       ARMENIAN DRAM SIGN
05BE          ; 0 # Pd       HEBREW PUNCTUATION MAQAF
05C0          ; 0 # Po       HEBREW PUNCTUATION PASEQ
05C3          ; 0 # Po       HEBREW PUNCTUATION SOF PASUQ
05C6          ; 0 # Po       HEBREW PUNCTUATION NUN HAFUKHA
05D0..05EA    ; 0 # Lo  [27] HEBREW LETTER ALEF..HEBREW LETTER TAV
05EF..05F2    ; 0 # Lo   [4] HEBREW YOD TRIANGLE..HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3..05F4    ; 0 # Po   [2] HEBREW PUNCTUATION GERESH..HEBREW PUNCTUATION GERSHAYIM
0600..0605    ; 0 # Cf   [6] ARABIC NUMBER SIGN..ARABIC NUMBER MARK ABOVE
0606..0608    ; 0 # Sm   [3] ARABIC-INDIC CUBE ROOT..ARABIC RAY
0609..060A    ; 0 # Po   [2] ARABIC-INDIC PER MILLE SIGN..ARABIC-INDIC PER TEN THOUSAND SIGN
060B          ; 0 # Sc       AFGHANI SIGN
060C..060D    ; 0 # Po   [2] ARABIC COMMA..ARABIC DATE SEPARATOR
060E..060F    ; 0 # So   [2] ARABIC POETIC VERSE SIGN..ARABIC SIGN MISRA
061B          ; 0 # Po       ARABIC SEMICOLON
061C          ; 0 # Cf       ARABIC LETTER MARK
061D..061F    ; 0 # Po   [3] ARABIC END OF TEXT MARK..ARABIC QUESTION MARK
0620..063F    ; 0 # Lo  [32] ARABIC LETTER KASHMIRI YEH..ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
0640          ; 0 # Lm       ARABIC TATWEEL
0641..064A    ; 0 # Lo  [10] ARABIC LETTER FEH..ARABIC LETTER YEH
0660..0669    ; 0 # Nd  [10] ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
066A..066D    ; 0 # Po   [4] ARABIC PERCENT SIGN..ARABIC FIVE POINTED STAR
066E..066F    ; 0 # Lo   [2] ARABIC LETTER DOTLESS BEH..ARABIC LETTER DOTLESS QAF
0671..06D3    ; 0 # Lo  [99] ARABIC LETTER ALEF WASLA..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D4          ; 0 # Po       ARABIC FULL STOP
06D5          ; 0 # Lo       ARABIC LETTER AE
06DD          ; 0 # Cf       ARABIC END OF AYAH
06DE          ; 0 # So       ARABIC START OF RUB EL HIZB
06E5..06E6    ; 0 # Lm   [2] ARABIC SMALL WAW..ARABIC SMALL YEH
06E9          ; 0 # So       ARABIC PLACE OF SAJDAH
06EE..06EF    ; 0 # Lo   [2] ARABIC LETTER DAL WITH INVERTED V..ARABIC LETTER REH WITH INVERTED V
06F0..06F9    ; 0 # Nd  [10] EXTENDED ARABIC-INDIC DIGIT ZERO..EXTENDED ARABIC-INDIC DIGIT NINE
06FA..06FC    ; 0 # Lo   [3] ARABIC LETTER SHEEN WITH DOT BELOW..ARABIC LETTER GHAIN WITH DOT BELOW
06FD..06FE    ; 0 # So   [2] ARABIC SIGN SINDHI AMPERSAND..ARABIC SIGN SINDHI POSTPOSITION MEN
06FF          ; 0 # Lo       ARABIC LETTER HEH WITH INVERTED V
0700..070D    ; 0 # Po  [14] SYRIAC END OF PARAGRAPH..SYRIAC HARKLEAN ASTERISCUS
070F          ; 0 # Cf       SYRIAC ABBREVIATION MARK
0710          ; 0 # Lo       SYRIAC LETTER ALAPH
0712..072F    ; 0 # Lo  [30] SYRIAC LETTER BETH..SYRIAC LETTER PERSIAN DHALATH
074D..07A5    ; 0 # Lo  [89] SYRIAC LETTER SOGDIAN ZHAIN..THAANA LETTER WAAVU
